surah_ayat,tema,pair,cosine
2:43,zakat-infaq,id-ms,0.8584
2:43,zakat-infaq,id-th,0.6108
2:43,zakat-infaq,id-tl,0.6997
2:43,zakat-infaq,id-bn,0.9331
2:43,zakat-infaq,ms-th,0.6935
2:43,zakat-infaq,ms-tl,0.6801
2:43,zakat-infaq,ms-bn,0.8907
2:43,zakat-infaq,th-tl,0.569
2:43,zakat-infaq,th-bn,0.6414
2:43,zakat-infaq,tl-bn,0.6791
2:110,zakat-infaq,id-ms,0.9433
2:110,zakat-infaq,id-th,0.7903
2:110,zakat-infaq,id-tl,0.8318
2:110,zakat-infaq,id-bn,0.9653
2:110,zakat-infaq,ms-th,0.8128
2:110,zakat-infaq,ms-tl,0.835
2:110,zakat-infaq,ms-bn,0.962
2:110,zakat-infaq,th-tl,0.8035
2:110,zakat-infaq,th-bn,0.7939
2:110,zakat-infaq,tl-bn,0.8285
2:180,wasiat,id-ms,0.8746
2:180,wasiat,id-th,0.7572
2:180,wasiat,id-tl,0.8234
2:180,wasiat,id-bn,0.8959
2:180,wasiat,ms-th,0.7318
2:180,wasiat,ms-tl,0.8326
2:180,wasiat,ms-bn,0.9537
2:180,wasiat,th-tl,0.7598
2:180,wasiat,th-bn,0.7506
2:180,wasiat,tl-bn,0.8354
2:188,harta-batil-suap,id-ms,0.91
2:188,harta-batil-suap,id-th,0.8836
2:188,harta-batil-suap,id-tl,0.7436
2:188,harta-batil-suap,id-bn,0.9458
2:188,harta-batil-suap,ms-th,0.8757
2:188,harta-batil-suap,ms-tl,0.7352
2:188,harta-batil-suap,ms-bn,0.9653
2:188,harta-batil-suap,th-tl,0.6785
2:188,harta-batil-suap,th-bn,0.9022
2:188,harta-batil-suap,tl-bn,0.7541
2:219,gharar-maysir-judi,id-ms,0.9339
2:219,gharar-maysir-judi,id-th,0.8135
2:219,gharar-maysir-judi,id-tl,0.8492
2:219,gharar-maysir-judi,id-bn,0.9185
2:219,gharar-maysir-judi,ms-th,0.8519
2:219,gharar-maysir-judi,ms-tl,0.8944
2:219,gharar-maysir-judi,ms-bn,0.977
2:219,gharar-maysir-judi,th-tl,0.8202
2:219,gharar-maysir-judi,th-bn,0.831
2:219,gharar-maysir-judi,tl-bn,0.8914
2:261,zakat-infaq,id-ms,0.9141
2:261,zakat-infaq,id-th,0.7679
2:261,zakat-infaq,id-tl,0.8313
2:261,zakat-infaq,id-bn,0.9334
2:261,zakat-infaq,ms-th,0.7555
2:261,zakat-infaq,ms-tl,0.8067
2:261,zakat-infaq,ms-bn,0.9634
2:261,zakat-infaq,th-tl,0.7526
2:261,zakat-infaq,th-bn,0.7664
2:261,zakat-infaq,tl-bn,0.8107
2:262,infaq-etika,id-ms,0.9125
2:262,infaq-etika,id-th,0.8435
2:262,infaq-etika,id-tl,0.8206
2:262,infaq-etika,id-bn,0.9405
2:262,infaq-etika,ms-th,0.8162
2:262,infaq-etika,ms-tl,0.8123
2:262,infaq-etika,ms-bn,0.9527
2:262,infaq-etika,th-tl,0.744
2:262,infaq-etika,th-bn,0.8473
2:262,infaq-etika,tl-bn,0.8323
2:264,infaq-etika,id-ms,0.9293
2:264,infaq-etika,id-th,0.7894
2:264,infaq-etika,id-tl,0.858
2:264,infaq-etika,id-bn,0.9533
2:264,infaq-etika,ms-th,0.8326
2:264,infaq-etika,ms-tl,0.8258
2:264,infaq-etika,ms-bn,0.9665
2:264,infaq-etika,th-tl,0.7553
2:264,infaq-etika,th-bn,0.8004
2:264,infaq-etika,tl-bn,0.8401
2:267,zakat-infaq,id-ms,0.9133
2:267,zakat-infaq,id-th,0.7679
2:267,zakat-infaq,id-tl,0.8045
2:267,zakat-infaq,id-bn,0.878
2:267,zakat-infaq,ms-th,0.8066
2:267,zakat-infaq,ms-tl,0.7936
2:267,zakat-infaq,ms-bn,0.9478
2:267,zakat-infaq,th-tl,0.727
2:267,zakat-infaq,th-bn,0.7897
2:267,zakat-infaq,tl-bn,0.7604
2:271,infaq-etika,id-ms,0.8749
2:271,infaq-etika,id-th,0.8368
2:271,infaq-etika,id-tl,0.8011
2:271,infaq-etika,id-bn,0.9356
2:271,infaq-etika,ms-th,0.8334
2:271,infaq-etika,ms-tl,0.7728
2:271,infaq-etika,ms-bn,0.9376
2:271,infaq-etika,th-tl,0.7757
2:271,infaq-etika,th-bn,0.8628
2:271,infaq-etika,tl-bn,0.8444
2:275,riba,id-ms,0.868
2:275,riba,id-th,0.7661
2:275,riba,id-tl,0.7755
