Domain,Divergence,n verses
Measures & scales,0.2605,17
Spending ethics,0.2172,10
Lawful earning,0.2153,9
Production,0.2149,4
Contracts & oaths,0.214,6
Riba (usury),0.2136,9
Lending & debt,0.2017,1
Zakat & alms,0.1891,6
Partnership & mudaraba,0.1853,3
Wealth as trial,0.1713,5
Gharar & gambling,0.1711,3
Trust (amanah),0.1705,3
Unlawful gain,0.1649,2
Sale & trade,0.1642,6
Wealth distribution,0.1617,1
Bequest,0.1605,5
Orphans' property,0.1542,4
Hoarding,0.1495,2
Inheritance,0.1392,6
Leasing (ijara),0.1336,3
