from,to,weight
0,1,0.6037
0,9,0.481
0,11,0.5134
0,12,0.5046
0,13,0.542
0,14,0.4801
0,19,0.4669
0,20,0.4555
0,28,0.4834
0,32,0.4551
0,35,0.497
0,38,0.4703
0,39,0.4923
0,41,0.4767
0,42,0.4649
0,44,0.4846
0,45,0.5456
0,47,0.505
0,50,0.4995
0,64,0.5271
0,68,0.4627
0,73,0.4883
0,75,0.5739
0,79,0.4636
0,81,0.4503
0,82,0.4827
0,84,0.4755
0,85,0.5029
0,93,0.513
0,96,0.4755
0,99,0.4642
1,2,0.4607
1,3,0.5306
1,4,0.5099
1,5,0.5313
1,6,0.6032
1,7,0.5252
1,8,0.6852
1,9,0.7512
1,10,0.4938
1,11,0.564
1,12,0.6426
1,13,0.5919
1,14,0.6453
1,15,0.5081
1,16,0.4559
1,17,0.599
1,18,0.5303
1,19,0.5207
1,20,0.6224
1,21,0.4782
1,24,0.4992
1,25,0.506
1,26,0.5454
1,27,0.6474
1,28,0.464
1,29,0.4602
1,30,0.5675
1,31,0.4949
1,32,0.457
1,33,0.5641
1,34,0.534
1,35,0.5644
1,36,0.4869
1,37,0.5268
1,38,0.5312
1,39,0.6535
1,42,0.7193
1,43,0.52
1,44,0.5505
1,45,0.491
1,46,0.6913
1,48,0.5821
1,49,0.5162
1,50,0.6635
1,51,0.4982
1,52,0.5279
1,56,0.5167
1,57,0.5111
1,58,0.5051
1,59,0.5365
1,60,0.5824
1,61,0.5981
1,62,0.4517
1,64,0.5266
1,65,0.5837
1,66,0.5975
1,68,0.5254
1,69,0.5067
1,70,0.6262
1,71,0.5829
1,72,0.5826
1,73,0.654
1,74,0.5806
1,76,0.4605
1,77,0.5952
1,78,0.4822
1,79,0.4727
1,85,0.4826
1,87,0.4543
1,89,0.6852
1,91,0.4869
1,92,0.4502
1,93,0.6395
1,94,0.4947
1,96,0.715
1,97,0.4605
1,99,0.6507
1,100,0.6142
1,101,0.4776
2,3,0.5637
2,7,0.452
2,8,0.4599
2,9,0.5747
2,13,0.4662
2,14,0.5339
2,15,0.4942
2,16,0.5109
2,17,0.5053
2,19,0.5471
2,20,0.5091
2,21,0.5389
2,22,0.606
2,24,0.6248
2,25,0.5722
2,26,0.4687
2,27,0.5913
2,29,0.5492
2,30,0.4633
2,33,0.5792
2,34,0.5086
2,35,0.4588
2,36,0.4515
2,37,0.4874
2,38,0.5179
2,39,0.4921
2,42,0.4874
2,43,0.4772
2,48,0.5936
2,49,0.4908
2,51,0.5912
2,58,0.4706
2,59,0.5259
2,60,0.6279
2,61,0.4622
2,65,0.461
2,66,0.4556
2,67,0.5999
2,69,0.5269
2,71,0.5082
2,72,0.4659
2,73,0.5232
2,75,0.5929
