id,surah_ayat,domain,divergence
0,2:43,zakat-infaq,0.2744168996810913
1,2:110,zakat-infaq,0.1433676958084107
2,2:180,wasiat,0.17849476933479314
3,2:188,harta-batil-suap,0.16060649752616885
4,2:219,gharar-maysir-judi,0.12189555168151855
5,2:261,zakat-infaq,0.169798344373703
6,2:262,infaq-etika,0.14780722260475154
7,2:264,infaq-etika,0.14492202997207637
8,2:267,zakat-infaq,0.18112303614616398
9,2:271,infaq-etika,0.1524757742881775
10,2:275,riba,0.19050454497337344
11,2:276,riba,0.24718231558799741
12,2:277,riba,0.13699577450752254
13,2:278,riba,0.17025183439254765
14,2:279,riba,0.25588771104812624
15,2:280,riba,0.2569740355014801
16,2:282,bay-jualbeli,0.12197585701942448
17,2:283,amanah-trust,0.1728801727294922
18,3:130,riba,0.23363877534866329
19,4:2,harta-anak-yatim,0.150622820854187
20,4:5,harta-anak-yatim,0.2037936210632324
21,4:6,harta-anak-yatim,0.1445429444313049
22,4:7,warisan-faraid,0.1465521335601807
23,4:10,harta-anak-yatim,0.11787536144256594
24,4:11,warisan-faraid,0.1279175460338593
25,4:12,warisan-faraid,0.11733611226081853
26,4:29,bay-jualbeli,0.18982025980949402
27,4:58,amanah-trust,0.17794212698936462
28,4:161,riba,0.23825996518135073
29,4:176,warisan-faraid,0.1301824867725372
30,5:1,uqud-akad-janji,0.20834403038024907
31,5:90,gharar-maysir-judi,0.196870231628418
32,5:91,gharar-maysir-judi,0.19445503354072569
33,6:152,mizan-timbangan-adil,0.22974796891212468
34,7:85,mizan-timbangan-adil,0.15802267789840696
35,8:27,amanah-trust,0.16055849194526672
36,9:34,penimbunan-kanz,0.14599575996398928
37,9:35,penimbunan-kanz,0.15303256511688235
38,9:60,zakat-infaq,0.167498379945755
39,9:103,zakat-infaq,0.19836537241935726
40,11:84,mizan-timbangan-adil,0.2011316597461701
41,11:85,mizan-timbangan-adil,0.1775117695331574
42,16:91,uqud-akad-janji,0.16481388211250303
43,17:34,uqud-akad-janji,0.2844476938247681
44,17:35,mizan-timbangan-adil,0.29197408556938176
45,23:8,uqud-akad-janji,0.29612942934036257
46,30:39,riba,0.19233118891716006
47,55:9,mizan-timbangan-adil,0.2817166209220886
48,59:7,distribusi-kekayaan,0.16174656748771665
49,62:9,bay-jualbeli,0.18750410676002505
50,62:10,rezeki-kerja-halal,0.21966799497604372
51,63:10,infaq-etika,0.21383926868438718
52,67:15,rezeki-kerja-halal,0.20906910896301267
53,83:1,mizan-timbangan-adil,0.44365498125553127
54,83:2,mizan-timbangan-adil,0.32142255306243894
55,83:3,mizan-timbangan-adil,0.17663834691047664
56,2:168,rezeki-kerja-halal,0.18396118879318235
57,2:181,wasiat,0.12652364969253538
58,2:182,wasiat,0.21196578145027156
59,2:233,ijarah,0.133180958032608
60,2:240,wasiat,0.16707941293716433
61,2:245,qard-utang,0.20166724920272827
62,2:254,infaq-etika,0.2119080007076264
63,3:14,harta-fitnah,0.1846485137939453
64,3:134,infaq-etika,0.23731429576873775
65,5:2,uqud-akad-janji,0.17102499008178706
66,5:38,harta-batil-suap,0.1692295014858246
67,5:106,wasiat,0.11825038194656368
68,7:31,rezeki-kerja-halal,0.18796324133872988
69,7:32,rezeki-kerja-halal,0.15926899909973147
70,8:28,harta-fitnah,0.14609556198120122
71,8:75,warisan-faraid,0.14817945957183842
72,9:4,uqud-akad-janji,0.1590724408626556
73,9:105,rezeki-kerja-halal,0.14335193634033205
74,10:72,rezeki-kerja-halal,0.21636171340942378
75,17:26,infaq-etika,0.3323630303144455
76,17:27,infaq-etika,0.2879121959209442
77,18:46,harta-fitnah,0.15867071747779848
78,21:80,produksi,0.2370998919010162
79,24:37,bay-jualbeli,0.17799101471900936
80,25:7,rezeki-kerja-halal,0.18440794944763184
81,25:67,infaq-etika,0.2940313339233398
82,26:181,mizan-timbangan-adil,0.32946829795837407
83,26:182,mizan-timbangan-adil,0.3380788087844848
84,26:183,mizan-timbangan-adil,0.21719310879707332
85,26:184,mizan-timbangan-adil,0.2680326879024506
86,28:26,ijarah,0.1299866616725922
87,28:27,ijarah,0.13748792409896848
88,28:76,harta-fitnah,0.2114754319190979
89,28:77,harta-fitnah,0.1558365404605866
90,32:27,produksi,0.15564445257186887
91,33:6,warisan-faraid,0.16519706249237065
92,34:10,produksi,0.1530831754207611
93,34:11,produksi,0.3136650443077087
94,38:24,syirkah-mudharabah,0.1901313900947571
95,39:29,syirkah-mudharabah,0.21508193016052246
96,57:7,infaq-etika,0.14893443584442134
97,57:25,mizan-timbangan-adil,0.1306053936481476
98,61:10,bay-jualbeli,0.15311777591705322
99,61:11,bay-jualbeli,0.15481751561164858
100,73:20,syirkah-mudharabah,0.1505695879459381
101,74:38,rezeki-kerja-halal,0.43351002335548405
102,83:4,mizan-timbangan-adil,0.2486336290836334
103,83:5,mizan-timbangan-adil,0.34482282400131226
104,83:6,mizan-timbangan-adil,0.27059363126754765
